station,lon,lat,Date,lat_deg,lat_dm,long_deg,long_dm,Time,Sounding,Depth sampled,Number of bottles,Bottom,CTD Cast,Sond Cast,Notes,
Musq_1,-66.31992,45.19198,2022-09-12,45,11.5268,66,19.1895,15:06:00,6.2,1m 6m ,3 surface 3 bottom,TRUE,TRUE,TRUE,,
Musq_2,-66.3196768572901,45.1898228388965,2022-09-12,45,11.3797,66,19.1552,14:59:00,5.8,1m,3 surface,FALSE,TRUE,TRUE,Two casts bottle didn’t close. Also false cast with the cast away. Didn’t intitiate the CTD,
Musq_3,-66.3230503455088,45.186079486959,2022-09-12,45,11.1691,66,19.4128,15:24:00,5.4,1m,3 surface,FALSE,TRUE,TRUE,strong tide,
Musq_4,-66.3190832251773,45.1828806141373,2022-09-12,45,10.9697,66,19.1539,14:46:00,6.4,1m,3 surface,FALSE,TRUE,TRUE,noted that tide has not switched directions. Tide chart was for 14:00 but there was a lag,
Musq_6,-66.3119670108971,45.1753704309361,2022-09-12,45,10.5249,66,18.7159,14:35:00,7.9,1m,3 surface,FALSE,TRUE,TRUE,sond suggests water very mixed and much less salty,
Musq_7,-66.3080520966495,45.1716903984412,2022-09-12,45,10.3235,66,18.5348,15:39:00,7.7,1m,3 surface,FALSE,TRUE,TRUE,strong tide is pushing the boat. ,
Musq_8,-66.3027690362258,45.1694023939482,2022-09-12,45,10.1705,66,18.2032,14:17:00,6.3,1m and 6 m,3 surface 3 bottom,TRUE,TRUE,TRUE,seal watching us,
Musq_10,-66.295388225357,45.1757580902705,2022-09-12,45,10.5396,66,17.7754,14:07:00,7.6,1m,3 surface,FALSE,TRUE,TRUE,,
Musq_11,-66.2942872423085,45.1789829565639,2022-09-12,45,10.7683,66,17.6441,15:57:00,6.6,1m,3 surface,FALSE,TRUE,TRUE,,
Musq_12,-66.2988637453037,45.1821286768471,2022-09-12,45,10.9364,66,17.9377,13:57:00,7.1,1m,3 surface,FALSE,TRUE,TRUE,,
Musq_14,-66.2891118460686,45.1862911936608,2022-09-12,45,11.1791,66,17.4023,13:47:00,8.6,1m,3 surface,FALSE,TRUE,TRUE,,
Musq_15,-66.283455862955,45.1865534401209,2022-09-12,45,11.1802,66,16.9816,16:12:00,6,1m,3 surface,FALSE,TRUE,TRUE,,
Musq_16,-66.2805075607935,45.1906948199104,2022-09-12,45,11.4635,66,16.8458,13:36:00,4,1m,3 surface,FALSE,TRUE,TRUE,,
Musq_18,-66.269065852727,45.1923270620469,2022-09-12,45,11.5645,66,16.1242,13:24:00,9,1m,3 surface,FALSE,TRUE,TRUE,,
Musq_19,-66.2632095402915,45.1902413946737,2022-09-12,45,11.4302,66,15.7832,16:28:00,9.2,1m,3 surface,FALSE,TRUE,TRUE,last station coolers are full,
Musq_20,-66.2585015674577,45.1872753446181,2022-09-12,45,11.2555,66,15.5621,13:00:00,17.2,1m 11m,3 surface 3 bottom,TRUE,TRUE,TRUE,First station on transit into the Zone 1 lots of movement so depth tansitioned as shallow as 11 from the first reading of 17,
Musq_22,-66.2488467000525,45.1809260238275,2022-09-13,45,10.8654,66,14.8654,12:35:00,5.7,1m,3 surface,FALSE,TRUE,TRUE,,
Musq_24,-66.2417432507104,45.1736942142169,2022-09-13,45,10.4221,66,14.4847,12:27:00,5.3,1m,3 surface,FALSE,TRUE,TRUE,,
Musq_26,-66.2446060691947,45.1652863139253,2022-09-13,45,9.9353,66,14.6737,12:19:00,5.5,1m,3 surface,FALSE,TRUE,TRUE,,
Musq_28,-66.2497136756592,45.1572143280313,2022-09-13,45,9.4553,66,14.9801,12:11:00,7.1,1m,3 surface,FALSE,TRUE,TRUE,no nav on castaway,
Musq_30,-66.2472964155382,45.1482645065737,2022-09-13,45,8.9362,66,14.854,11:53:00,10.2,1m 9m,3 surface 3 bottom,TRUE,FALSE,TRUE,First station of the13th,missed the cast away due to battery issues
Musq_32,-66.246039522818,45.1437943169869,2022-09-13,45,8.6234,66,14.79,13:50:00,17.3,1m,3 surface 3 bottom,TRUE,TRUE,TRUE,,
Zone 2B_1,-66.2580047339922,45.1407953799119,2022-09-13,45,8.4466,66,15.4973,14:24:00,14.4,1m,3 surface,FALSE,TRUE,TRUE,,
Zone 2B_2,-66.2627338936845,45.1435646683874,2022-09-13,45,8.6136,66,15.7634,14:30:00,8.9,1m,3 surface,FALSE,TRUE,TRUE,,
Zone 2B_3,,,2022-09-13,45,8.5129,66,15.5971,14:39:00,12.2,1m,3 surface,FALSE,TRUE,TRUE,station added so we could have a replicate in zone 2b,
Zone 3_1,-66.2569072253304,45.1387589212567,2022-09-13,45,8.3204,66,15.4573,14:05:00,17.7,1m 17m ,3 surface 3 bottom,TRUE,TRUE,TRUE,,
Zone 3_2,-66.2424896030057,45.1459702290424,2022-09-13,45,8.7479,66,14.5701,13:39:00,20.3,1m,3 surface,FALSE,TRUE,TRUE,station too deep for bottom sample or full CTD/Sond casts,
Zone 3_3,-66.2505837124329,45.1424468110858,2022-09-13,45,8.5288,66,15.0317,13:57:00,17.3,1m,3 surface,FALSE,TRUE,TRUE,,
Zone 2A_1,-66.2578072546796,45.1579384360654,2022-09-13,45,9.4922,66,15.4815,12:56:00,6.8,1m,3 surface,FALSE,TRUE,TRUE,,
Zone 2A_10,-66.2541007438058,45.1541143090573,2022-09-13,45,9.2645,66,15.248,13:04:00,8,1m,3 surface,FALSE,TRUE,TRUE,,
Zone 2A_12,-66.2350487354017,45.1539823599045,2022-09-13,45,9.2861,66,14.0807,13:24:00,7.8,1m,3 surface 3 bottom,TRUE,TRUE,TRUE,black beach – larval fish over the side,
